"parameters 
changed",,1883 sorted,0.337231362,,"""pure"" data",0.520517438,,Pure  +/- delta,,0.492902164,1,rank,3725,,residuals,-0.000346202,,residuals absl. Value,0.000346202,,sum,8.486926921,1,6.01757E-05,6.01757E-05,0.337231362,0.309379438,0.281764164
Delta,-0.027615274,,0.347512962,,single,0.506648338,,,,0.479033064,2,,2779,,,0.000330598,,,0.000330598,,,,2,0.000180527,0.000180527,0.347512962,0.380521738,0.371297864
Null,0,,0.350918962,,dizygous,0.456777038,,,,0.429161764,3,,205,,,-0.000803902,,,0.000803902,,truncated,#REF!,3,0.000300879,0.000300879,0.350918962,0.391527238,0.371786164
half Null,0,,0.355309862,,person,0.506566938,,,,0.478951664,4,,2773,,,0.000325198,,,0.000325198,,sum of,8.486926921,4,0.00042123,0.00042123,0.355309862,0.398913138,0.372405864
Shift(sigma),-51,,0.361092562,,each value,0.469857338,,,,0.442242064,5,,492,,,-0.000172602,,,0.000172602,,root mean,,5,0.000541581,0.000541581,0.361092562,0.399388938,0.374978364
count,8309,,0.368234762,,is unique,0.472942838,,,,0.445327564,6,,616,,,2.18983E-05,,,2.18983E-05,,square,5.683033139,6,0.000661933,0.000661933,0.368234762,0.399401438,0.375214764
half of count,4154,,0.369826862,,,0.526476538,,,,0.498861264,7,,4118,,,-0.001176802,,,0.001176802,,residuals,,7,0.000782284,0.000782284,0.369826862,0.400021138,0.375974264
half - sigma,4205,,0.374529462,,,0.608177038,,,,0.580561764,8,,8151,,,0.005127498,,,0.005127498,,,,8,0.000902636,0.000902636,0.374529462,0.402593638,0.376900564
f,0.116918575,,0.374750462,,,0.460477138,,,,0.432861864,9,,267,,,-0.001292802,,,0.001292802,,,,9,0.001022987,0.001022987,0.374750462,0.402830038,0.378082964
,,,0.378840662,,,0.535894638,,,,0.508279364,10,,4746,,,-0.001590002,,,0.001590002,,,,10,0.001143339,0.001143339,0.378840662,0.403589538,0.379787864
opposite delta,-0.027615274,,0.383409262,,,0.491058738,,,,0.463443464,11,,1645,,,0.001067598,,,0.001067598,,,,11,0.00126369,0.00126369,0.383409262,0.404515838,0.380138164
,,,0.384420662,,,0.483097638,,,,0.455482364,12,,1105,,,0.000511598,,,0.000511598,,,,12,0.001384041,0.001384041,0.384420662,0.404863638,0.383390964
half +700,3454,,0.384811062,,,0.507201538,,,,0.479586264,13,,2814,,,0.000337098,,,0.000337098,,,,13,0.001504393,0.001504393,0.384811062,0.405260238,0.383586264
half-700,4854,,0.386755562,,,0.500262838,,,,0.472647564,14,,2323,,,0.001113598,,,0.001113598,,,,14,0.001624744,0.001624744,0.386755562,0.405698238,0.384786564
average data,0.5,,0.388408462,,,0.495517438,,,,0.467902164,15,,1966,,,0.001300598,,,0.001300598,,,,15,0.001745096,0.001745096,0.388408462,0.406391438,0.387304664
diff in ave,-3.44169E-15,,0.389628662,,,0.480673438,,,,0.453058164,16,,979,,,0.000534198,,,0.000534198,,,,16,0.001865447,0.001865447,0.389628662,0.407403138,0.388026364
average pure,0.5,,0.389854462,,,0.471242138,,,,0.443626864,17,,545,,,1.74983E-05,,,1.74983E-05,,,,17,0.001985799,0.001985799,0.389854462,0.407753438,0.389239964
,,,0.389994162,,,0.531838438,,,,0.504223164,18,,4467,,,-0.001453602,,,0.001453602,,,,18,0.00210615,0.00210615,0.389994162,0.408383538,0.389475764
,,,0.392218962,,,0.512085138,,,,0.484469864,19,,3163,,,-0.000328102,,,0.000328102,,,,19,0.002226501,0.002226501,0.392218962,0.410761438,0.390038964
,,,0.392910362,,,0.468850438,,,,0.441235164,20,,454,,,-0.000584202,,,0.000584202,,,,20,0.002346853,0.002346853,0.392910362,0.411006238,0.390408464
,,,0.393376262,,,0.495514238,,,,0.467898964,21,,1965,,,0.001298598,,,0.001298598,,,,21,0.002467204,0.002467204,0.393376262,0.411201538,0.390819964
,,,0.393821862,,,0.498102238,,,,0.470486964,22,,2161,,,0.001155798,,,0.001155798,,,,22,0.002587556,0.002587556,0.393821862,0.412401838,0.391949264
,,,0.393853562,,,0.535569438,,,,0.507954164,23,,4721,,,-0.001689202,,,0.001689202,,,,23,0.002707907,0.002707907,0.393853562,0.414837838,0.393765664
,,,0.394524162,,,0.424892938,,,,0.397277664,24,,30,,,0.000909898,,,0.000909898,,,,24,0.002828259,0.002828259,0.394524162,0.414919938,0.394568264
,,,0.394702162,,,0.532934938,,,,0.505319664,25,,4541,,,-0.001516602,,,0.001516602,,,,25,0.00294861,0.00294861,0.394702162,0.415641638,0.394680764
,,,0.395708562,,,0.530986538,,,,0.503371264,26,,4413,,,-0.001349002,,,0.001349002,,,,26,0.003068961,0.003068961,0.395708562,0.416093238,0.394704664
,,,0.396040762,,,0.484887038,,,,0.457271764,27,,1212,,,0.000385898,,,0.000385898,,,,27,0.003189313,0.003189313,0.396040762,0.416855238,0.394920764
,,,0.396538062,,,0.508809838,,,,0.481194564,28,,2936,,,0.000167098,,,0.000167098,,,,28,0.003309664,0.003309664,0.396538062,0.416906338,0.396851164
,,,0.396811262,,,0.492933638,,,,0.465318364,29,,1780,,,0.001281098,,,0.001281098,,,,29,0.003430016,0.003430016,0.396811262,0.416975138,0.397186964
,,,0.398187562,,,0.522853438,,,,0.495238164,30,,3893,,,-0.000451402,,,0.000451402,,,,30,0.003550367,0.003550367,0.398187562,0.417091038,0.397277664
,,,0.398670462,,,0.503227238,,,,0.475611964,31,,2533,,,0.000706698,,,0.000706698,,,,31,0.003670718,0.003670718,0.398670462,0.417654238,0.398098164
,,,0.399285262,,,0.539953038,,,,0.512337764,32,,5041,,,-0.000982302,,,0.000982302,,,,32,0.00379107,0.00379107,0.399285262,0.418023738,0.398136964
,,,0.399655262,,,0.474493738,,,,0.446878464,33,,687,,,7.10983E-05,,,7.10983E-05,,,,33,0.003911421,0.003911421,0.399655262,0.418435238,0.399043264
,,,0.400056062,,,0.511775938,,,,0.484160664,34,,3138,,,-0.000357202,,,0.000357202,,,,34,0.004031773,0.004031773,0.400056062,0.419564538,0.399280264
,,,0.400129162,,,0.487404538,,,,0.459789264,35,,1372,,,0.000608498,,,0.000608498,,,,35,0.004152124,0.004152124,0.400129162,0.419572238,0.399380264
,,,0.400141362,,,0.505822238,,,,0.478206964,36,,2725,,,0.000545598,,,0.000545598,,,,36,0.004272476,0.004272476,0.400141362,0.420025238,0.399396564
,,,0.400296562,,,0.499273338,,,,0.471658064,37,,2248,,,0.001227898,,,0.001227898,,,,37,0.004392827,0.004392827,0.400296562,0.420304338,0.400823564
,,,0.400345562,,,0.479374138,,,,0.451758864,38,,903,,,0.000337498,,,0.000337498,,,,38,0.004513178,0.004513178,0.400345562,0.421380938,0.400970464
,,,0.401732962,,,0.576058938,,,,0.548443664,39,,7456,,,0.002641398,,,0.002641398,,,,39,0.00463353,0.00463353,0.401732962,0.421872338,0.401120564
,,,0.401889962,,,0.447866738,,,,0.420251464,40,,113,,,-6.90017E-05,,,6.90017E-05,,,,40,0.004753881,0.004753881,0.401889962,0.422183538,0.402780364
,,,0.401915962,,,0.479055738,,,,0.451440464,41,,888,,,0.000311498,,,0.000311498,,,,41,0.004874233,0.004874233,0.401915962,0.422296038,0.402843564
